2024-06-18 22:44:19 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-06-18 22:44:19 [main] INFO  com.task.backAPI - Starting backAPI using Java 17.0.10 with PID 82571 (/home/dexpomar/IdeaProjects/ContabilitateAPI/backAPI/target/classes started by dexpomar in /home/dexpomar/IdeaProjects/ContabilitateAPI)
2024-06-18 22:44:19 [main] INFO  com.task.backAPI - No active profile set, falling back to 1 default profile: "default"
2024-06-18 22:44:20 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-18 22:44:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 76 ms. Found 12 JPA repository interfaces.
2024-06-18 22:44:21 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-06-18 22:44:21 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-06-18 22:44:21 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-18 22:44:21 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-18 22:44:21 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-18 22:44:21 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2406 ms
2024-06-18 22:44:22 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-18 22:44:22 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-06-18 22:44:22 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-06-18 22:44:22 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-18 22:44:23 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-06-18 22:44:24 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3cdfbbef
2024-06-18 22:44:24 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-06-18 22:44:25 [main] WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.7.0 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2024-06-18 22:44:26 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-18 22:44:33 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-18 22:44:34 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-06-18 22:44:35 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-18 22:44:35 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@33c976b1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2c95cb24, org.springframework.security.web.context.SecurityContextHolderFilter@10e542f3, org.springframework.security.web.header.HeaderWriterFilter@5eb974, org.springframework.web.filter.CorsFilter@75f3c0c9, org.springframework.security.web.authentication.logout.LogoutFilter@5dcbdcb9, com.task.JsonWebToken.AuthTokenFilter@2d732cda, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4460edf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4a48fe63, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@28ec35e3, org.springframework.security.web.session.SessionManagementFilter@7bd0e2e9, org.springframework.security.web.access.ExceptionTranslationFilter@189f5ed8, org.springframework.security.web.access.intercept.AuthorizationFilter@25874884]
2024-06-18 22:44:35 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2024-06-18 22:44:35 [main] INFO  com.task.backAPI - Started backAPI in 17.326 seconds (process running for 18.926)
2024-06-18 22:44:35 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-18 22:44:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-06-18 22:44:36 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
